,C,N,P
DeadMic,0,0,0
DeadEnz,0,0,0
Cellulose,97.33893557,0,0
Hemicellulose,66.52661064,0,0
Starch,37.64005602,0,0
Chitin,4.951975127,0.8253357969,0
Lignin,28.12695326,0.2343912772,0
Protein1,13.49502499,2.669774264,0
Protein2,13.49502499,2.669774264,0
Protein3,13.49502499,2.669774264,0
OrgP1,12.34194974,0,0.4731763101
OrgP2,1.790052178,0.7851045589,0.4710617508
