,C,N,P
DeadMic,0,0,0
DeadEnz,0,0,0
Cellulose,141.5910965,0,0
Hemicellulose,1.854905194,0,0
Starch,20.40395713,0,0
Chitin,5.829695369,0.9716236752,0
Lignin,68.67748155,0.5723123463,0
Protein1,11.52809079,2.280647878,0
Protein2,11.52809079,2.280647878,0
Protein3,11.52809079,2.280647878,0
OrgP1,14.52951709,0,0.5570451532
OrgP2,2.107332654,0.9242615912,0.5545557957
