,C,N,P
DeadMic,0,0,0
DeadEnz,0,0,0
Cellulose,113.2256517,0,0
Hemicellulose,27.82664321,0,0
Starch,49.17639533,0,0
Chitin,6.785306716,1.130893508,0
Lignin,65.89894702,0.5491578918,0
Protein1,3.805045101,0.752767149,0
Protein2,3.805045101,0.752767149,0
Protein3,3.805045101,0.752767149,0
OrgP1,16.91121468,0,0.6483567288
OrgP2,2.4527694,1.075767769,0.6454593125
