,C,N,P
DeadMic,0,0,0
DeadEnz,0,0,0
Cellulose,124.7555504,0,0
Hemicellulose,42.44794662,0,0
Starch,23.98481537,0,0
Chitin,4.880768767,0.8134679751,0
Lignin,38.16122595,0.3180102163,0
Protein1,13.63710054,2.697881633,0
Protein2,13.63710054,2.697881633,0
Protein3,13.63710054,2.697881633,0
OrgP1,12.16448008,0,0.4663723254
OrgP2,1.764312327,0.7738152377,0.4642881722
